    CK06K040  2007 11 24.2025  3.197086  0.996904  233.6336  116.6719  111.3948  20171014   6.0  4.0  C/2006 K4 (NEAT)                                         MPC 73914
    CK06O02F  2008 09 10.5425  2.457875  1.001883   95.9115  318.4902   30.1161  20171014   5.5  4.0  C/2006 OF2 (Broughton)                                   MPC 82313
    CK06Q010  2008 07  4.5054  2.767223  0.998811  344.4750  199.3144   59.1546  20171014   5.0  4.0  C/2006 Q1 (McNaught)                                     MPC 72849
    PK06R010  2020 01  4.7045  1.661503  0.705125  249.3103  218.8270  160.0725  20171014  16.0  4.0  P/2006 R1 (Siding Spring)                                MPC 73461
    PK06S010  2019 10 24.9370  1.410025  0.601268  133.8513  207.9074   12.3457  20171014  17.5  4.0  P/2006 S1 (Christensen)                                  MPC 69905
    CK06S030  2012 04 12.8674  5.140407  0.999711  140.0343   38.3382  166.0217  20171014   2.0  4.0  C/2006 S3 (LONEOS)                                       MPC105235
    PK06S040  2022 01 18.7518  3.098081  0.506385  305.5761   36.1054   39.5947  20171014  11.0  4.0  P/2006 S4 (Christensen)                                  MPC 75707
    CK06S050  2007 12  6.0558  2.652855  0.972822  182.3258  281.4762   10.1188  20171014   8.0  4.0  C/2006 S5 (Hill)                                         MPC 60465
    CK06U060  2008 06  1.3005  2.512684  0.998895  276.6762  180.0103   84.7320  20171014   8.0  4.0  C/2006 U6 (Spacewatch)                                   MPC 66204
    CK06V010  2007 11 27.8227  2.647459  0.983131  253.0109  335.5287   31.4136  20171014   8.0  4.0  C/2006 V1 (Catalina)                                     MPC 62580
    PK06W010  2020 04  4.5449  1.709202  0.706628  231.7449  152.6684   18.5129  20171014  12.0  4.0  P/2006 W1 (Gibbs)                                        MPC105235
    CK06W030  2009 07  6.2075  3.105510  0.999260  133.2041  113.4728  127.0774  20171014   5.0  4.0  C/2006 W3 (Christensen)                                  MPC 82313
    PK07A020  2022 11 29.1525  2.787951  0.558195  186.9143  300.9559   26.5133  20171014  13.5  4.0  P/2007 A2 (Christensen)                                  MPC 75707
    PK07B010  2021 01 25.5156  2.432871  0.581183   46.8971   77.6807   12.3778  20171014  13.5  4.0  P/2007 B1 (Christensen)                                  MPC 59319
    CK07B020  2008 08 24.1898  2.965901  0.995389  206.1361   14.6945   27.5983  20171014   6.0  4.0  C/2007 B2 (Skiff)                                        MPC 66700
    PK07C020  2026 04 14.5219  3.764951  0.463828  179.5083  275.8251    8.7153  20171014  10.0  4.0  P/2007 C2 (Catalina)                                     MPC 75707
    CK07D010  2007 06 16.9782  8.824847  0.996635  340.3081  170.9781   41.4900  20171014   3.5  4.0  C/2007 D1 (LINEAR)                                       MPC 84315
    CK07G010  2008 11 13.9506  2.646291  0.999423  223.8808   79.0260   88.5846  20171014   5.5  4.0  C/2007 G1 (LINEAR)                                       MPC 66464
    PK07K020  2026 12 25.4893  2.280741  0.685503  347.5320  188.6440    7.6601  20171014  14.0  4.0  P/2007 K2 (Gibbs)                                        MPC 82314
    CK07K030  2008 04 21.9766  2.027767  0.998648   23.2994  263.1993   16.3893  20171014   9.5  4.0  C/2007 K3 (Siding Spring)                                MPC 82314
    CK07M010  2008 08  6.2273  7.471710  0.993391   52.6135  326.8961  139.7090  20171014   6.0  4.0  C/2007 M1 (McNaught)                                     MPC 87475
    CK07M020  2008 12 10.6898  3.543209  0.997802  220.7122  357.2285   81.0818  20171014   8.0  4.0  C/2007 M2 (Catalina)                                     MPC 68392
    CK07N030  2009 01  7.8985  1.230178  0.999155  136.6358  338.1626  178.3769  20171014   6.5  4.0  C/2007 N3 (Lulin)                                        MPC 73461
    PK07Q020  2020 11 28.0223  1.858707  0.669830  162.9699  172.2564   10.2176  20171014  16.0  4.0  P/2007 Q2 (Gilmore)                                      MPC 60925
    CK07Q030  2009 10  7.4117  2.266213  1.000604    2.2800  149.3466   65.6502  20171014   4.5  4.0  C/2007 Q3 (Siding Spring)                                MPC 78183
    PK07R010  2022 06 13.8419  4.338992  0.281740  175.0419  181.6198    7.8623  20171014   8.0  4.0  P/2007 R1 (Larson)                                       MPC 75514
    PK07R020  2020 09 13.9167  1.609118  0.547634  352.4497   11.8848    1.2411  20171014  17.0  4.0  P/2007 R2 (Gibbs)                                        MPC 75708
    PK07R040  2021 12 11.8482  1.943983  0.669422  283.0633   87.3155   20.2072  20171014  14.5  4.0  P/2007 R4 (Garradd)                                      MPC 75708
    PK07S010  2015 05  9.6642  2.500541  0.342326  245.9155  141.5144    5.9692  20171014  13.0  4.0  P/2007 S1 (Zhao)                                         MPC 73462
    CK07S020  2008 09 12.5375  5.574616  0.556292  210.6665  296.0753   16.8578  20171014   6.5  4.0  C/2007 S2 (Lemmon)                                       MPC 82314
    CK07T010  2007 12  8.1435  0.977698  0.999484  233.8659  111.5546  117.7296  20171014  10.5  4.0  C/2007 T1 (McNaught)                                     MPC 62270
    PK07T020  2018 07 23.4116  0.656445  0.784903  359.5657    3.4455    9.7418  20171014  18.5  4.0  P/2007 T2 (Kowalski)                                     MPC 61994
    PK07T040  2019 07 23.7542  2.003736  0.617930   42.4888   37.0571   23.8608  20171014  13.0  4.0  P/2007 T4 (Gibbs)                                        MPC 62879
